company_id,company_name,t,deal_id,deal_date,raw_stage,obs_token,deal_size_usd_mn,log_raise,company_revenue_curr_mn,delta_days,is_last_event
617265,Bolt Navigation,2,V368686,2024-01-03,Series B,Series B,5.83,1.9213246735826988,,705.0,1
617291,Puheng Technology,1,V368720,2022-04-12,Unspecified Round,UNSPEC,,,,,0
617291,Puheng Technology,2,V368721,2024-01-19,Unspecified Round,UNSPEC,,,,689.0,1
617357,"Dr. I&B Co., Ltd.",1,V369629,2020-01-01,Unspecified Round,UNSPEC,,,,,0
617357,"Dr. I&B Co., Ltd.",2,V369631,2020-07-02,Seed,Seed,0.5,0.4054651081081644,,,0
617357,"Dr. I&B Co., Ltd.",3,V368763,2022-06-01,Seed,Seed,,,,,0
617357,"Dr. I&B Co., Ltd.",4,V368759,2022-07-14,Unspecified Round,UNSPEC,0.76,0.5653138090500605,,,0
617357,"Dr. I&B Co., Ltd.",5,V368740,2024-01-18,Series A,Series A,0.76,0.5653138090500605,,690.0,1
617401,SecreTech,1,V368781,2024-01-19,Angel,ANGEL,,,,689.0,1
617437,"Certis Oncology Solutions, Inc.",1,V368799,2023-11-03,Series A,Series A,3.65,1.536867219599265,,,0
617437,"Certis Oncology Solutions, Inc.",2,V392984,2024-01-17,Series C,Series C,10.0,2.3978952727983707,,691.0,1
617567,"NirvaMed, Inc.",1,V369230,2019-11-20,Unspecified Round,UNSPEC,,,,2210.0,1
617618,Acorai AB,1,V368923,2024-01-22,Seed,Seed,4.5,1.7047480922384253,0.0,686.0,1
617739,"AriBio, Co., Ltd.",1,V369006,2014-11-14,Series B,Series B,3.47,1.4973884086254774,,,0
617739,"AriBio, Co., Ltd.",2,V372799,2018-07-25,Unspecified Round,UNSPEC,4.11,1.631199404215613,8180.89,,0
617739,"AriBio, Co., Ltd.",3,V372888,2020-09-29,Unspecified Round,UNSPEC,6.48,2.012232791986386,7253.67,,0
617739,"AriBio, Co., Ltd.",4,V369020,2022-01-15,Pre-IPO,EXITLIKE,28.71,3.391483689474516,2950.75,,0
617739,"AriBio, Co., Ltd.",5,V372879,2022-03-09,Unspecified Round,UNSPEC,32.8,3.520460802488973,2950.75,1370.0,1
617832,intellius,1,V369085,2023-09-01,Seed,Seed,,,,,0
617832,intellius,2,V369080,2024-01-22,Seed,Seed,0.52,0.41871033485818504,,686.0,1
617901,"3Daughters, Inc.",1,V369124,2023-12-18,Seed,Seed,3.52,1.5085119938441398,,,0
617901,"3Daughters, Inc.",2,V387336,2024-07-11,Seed,Seed,2.89,1.358409157630355,,515.0,1
617930,"The Knownwell Group, Inc.",1,V395185,2024-09-24,Seed,Seed,4.0,1.6094379124341003,,440.0,1
617995,Hephaistos Pharma,1,V369189,2024-01-23,Seed,Seed,2.18,1.1568811967920856,,,0
617995,Hephaistos Pharma,2,V380844,2024-05-14,Seed,Seed,4.85,1.766441661243765,,,0
617995,Hephaistos Pharma,3,V380851,2024-05-14,Grant,GRANT,6.25,1.9810014688665833,,573.0,1
617997,Oxitope Pharma B.V.,1,V369186,2021-09-16,Seed,Seed,,,,,0
617997,Oxitope Pharma B.V.,2,V369197,2021-10-28,Grant,GRANT,,,,1502.0,1
618101,"Coral Care, Inc.",1,V369282,2024-01-23,Unspecified Round,UNSPEC,1.3,0.832909122935104,,,0
618101,"Coral Care, Inc.",2,V394853,2024-09-19,Seed,Seed,5.2,1.8245492920510458,,445.0,1
618135,"You Are Accountable, Inc.",1,V369312,2023-11-16,Unspecified Round,UNSPEC,2.0,1.0986122886681096,,753.0,1
618145,"Motif Neurotech, Inc.",1,V369327,2024-01-12,Series A,Series A,15.32,2.792391349535961,,696.0,1
618200,Droobi Health,1,V369367,2020-06-01,Seed,Seed,,,,2016.0,1
618332,Isaac Health,1,V369498,2023-10-17,Seed,Seed,5.77,1.9125010869241836,,783.0,1
618335,Being Health,1,V369499,2024-01-25,Unspecified Round,UNSPEC,5.4,1.8562979903656263,,683.0,1
618400,Lanfan Baisheng,1,V369546,2024-01-26,Series A,Series A,125.54,4.840558463718739,,,0
618400,Lanfan Baisheng,2,V381204,2024-05-21,Series A,Series A,13.84,2.6973262377392344,,566.0,1
618476,Hedepy s.r.o.,1,V369741,2021-04-21,Seed,Seed,1.4,0.8754687373538999,0.28,,0
618476,Hedepy s.r.o.,2,V369746,2023-06-19,Unspecified Round,UNSPEC,2.45,1.2383742310432684,17.01,903.0,1
618487,ResVita Bio,1,V369749,2023-12-06,Seed,Seed,,,,733.0,1
618525,Artheia,1,V369608,2024-01-26,Unspecified Round,UNSPEC,,,,682.0,1
618545,ASEMtech Inc.,1,V369649,2023-12-01,Seed,Seed,0.68,0.5187937934151676,,,0
618545,ASEMtech Inc.,2,V391450,2024-01-29,Unspecified Round,UNSPEC,,,,679.0,1
618569,"Beyond Medicine Co., Ltd.",1,V369658,2022-07-04,Seed,Seed,0.08,0.07696104113612832,,,0
618569,"Beyond Medicine Co., Ltd.",2,V395824,2024-09-29,Unspecified Round,UNSPEC,0.38,0.32208349916911333,,435.0,1
618621,"Care for You Co., Ltd.",1,V369687,2024-01-29,Seed,Seed,0.07,0.06765864847381481,,,0
618621,"Care for You Co., Ltd.",2,V402589,2024-12-06,Seed,Seed,,,,367.0,1
618780,EUCALIA Inc.,1,V369812,2024-01-29,Unspecified Round,UNSPEC,7.43,2.131796772013764,18054.0,679.0,1
618801,iO Urology,1,V376314,2024-03-29,Series A,Series A,19.4,3.0155349008501706,,619.0,1
618859,"AI-DataScience Co., Ltd.",1,V369873,2024-01-30,Angel,ANGEL,1.68,0.9858167945227653,,678.0,1
618911,"NowDiagnostics, Inc.",1,V369912,2024-01-09,Series B,Series B,15.0,2.772588722239781,,,0
618911,"NowDiagnostics, Inc.",2,V387036,2024-07-09,Series B,Series B,22.5,3.157000421150113,,517.0,1
618963,Amigo Tech,1,V369961,2024-01-26,Unspecified Round,UNSPEC,32.55,3.5130368634176907,,682.0,1
618964,"Accompany Health, Inc.",1,V369963,2023-03-21,Series A,Series A,50.0,3.9318256327243257,,993.0,1
618989,VenomAid Diagnostics ApS,1,V369996,2024-01-30,Seed,Seed,1.8,1.0296194171811583,,678.0,1
619010,Aster Solutions Inc.,1,V370005,2024-01-30,Unspecified Round,UNSPEC,2.4,1.2237754316221157,,678.0,1
619039,Optimizers,1,V370020,2023-11-08,Seed,Seed,0.43,0.3576744442718159,,761.0,1
619044,"Rehabilitation3.0 Co., Ltd.",1,V370024,2024-01-30,Series A,Series A,0.34,0.29266961396282,,678.0,1
619064,Muxin Technology,1,V370030,2023-01-09,Unspecified Round,UNSPEC,,,,,0
619064,Muxin Technology,2,V370034,2024-01-31,Series A,Series A,,,,677.0,1
619066,"Vital Interaction, Inc.",1,V370036,2024-01-30,Series A,Series A,15.0,2.772588722239781,,678.0,1
619218,"NextStep Robotics, Inc.",1,V400148,2024-11-12,Seed,Seed,0.2,0.18232155679395462,,391.0,1
619222,"Generation Lab, Inc.",1,V370120,2024-01-30,Unspecified Round,UNSPEC,,,,678.0,1
619257,"UT HealthTech Co.,Ltd",1,V370147,2024-01-31,Series A,Series A,0.2,0.18232155679395462,,677.0,1
619275,AKM,1,V370139,2023-12-31,Unspecified Round,UNSPEC,,,,708.0,1
619295,Evaro,1,V370219,2023-01-26,Seed,Seed,1.41,0.8796267475025636,,1047.0,1
619324,SECOND HEART Inc.,1,V398029,2024-10-23,Unspecified Round,UNSPEC,,,,411.0,1
619422,Synergy Spine Solutions Inc.,1,V370223,2024-01-31,Series A,Series A,30.0,3.4339872044851463,,677.0,1
619472,Medi Node,1,V370290,2024-02-01,Seed,Seed,,,,,0
619472,Medi Node,2,V378439,2024-04-23,Seed,Seed,,,,594.0,1
619476,ZaoMeng Technology,1,V370266,2022-12-08,Unspecified Round,UNSPEC,,,,,0
619476,ZaoMeng Technology,2,V370273,2024-02-02,Angel,ANGEL,1.39,0.8712933659434192,,675.0,1
619529,Gense Technologies,1,V370320,2023-12-01,Unspecified Round,UNSPEC,0.07,0.06765864847381481,,738.0,1
619533,HEAL THREE,1,V370324,2024-02-01,Unspecified Round,UNSPEC,1.08,0.7323678937132266,,676.0,1
619537,SignDo,1,V370327,2024-02-01,Unspecified Round,UNSPEC,,,,676.0,1
